User_name,Datetime,Content,Links,Tweet_ID
lifelinecoachKS,2020-12-29T23:59:52.000Z,@JoeBiden  @KamalaHarris  we can use schools as vaccine locations! This allows those within those school boundaries to drive around their local school to get the vaccine. Even with schools in session you could vaccinate everyday from 9:00-2:30 and 4:00 to 10:00pm! We need a plan!!!,https://x.com/JoeBiden https://x.com/KamalaHarris,1344070661938028545
aylwardCA,2020-12-29T23:59:51.000Z,"Ontario closed down the local Ottawa ski hills after they invested tens of thousands on distancing and safety measures and Ottawa is doing okay covid-wise.  20 minutes away, Gatineau slopes open.  Egregious and clueless behavior by Ford govt.",,1344070660256104450
benjaminweston,2020-12-29T23:59:51.000Z,Strict 2 week circuit breaker lockdown  Keep schools off until Feb  Vastly increased FPNs  One-off basic payment to every household  We need a serious and thorough response now.,,1344070660025421837
LlFEOFJERM,2020-12-29T23:59:49.000Z,Didnt he say not to be scared of covid and we should move on with out lives,,1344070651255128065
RichinWriterss,2020-12-29T23:59:49.000Z,White House coronavirus task force warns of 'unstable' data during the holidays  richinwriters.com/white-house-co …,https://t.co/zyUswl8G6m,1344070650382708737
MrMekStuff,2020-12-29T23:59:49.000Z,Bout to be Quarantine 2021 huh,,1344070650290311168
Cowboy32769571,2020-12-29T23:59:49.000Z,They say there's a pandemic going on and you got all these people dancing??  strange!!!  x.com/ArtValley818_/ …,https://x.com/ArtValley818_/status/1344055625924423683,1344070649510322178
AZIndivisible1,2020-12-29T23:59:48.000Z,"""Please wear your mask, whether you want to or not. It's protecting someone's loved one.""",,1344070648981639168
jaethePLANE_,2020-12-29T23:59:48.000Z,Yea this pandemic has ducked y’all Brain cells & tastebuds,,1344070646880473088
JamesLynchGTC,2020-12-29T23:59:48.000Z,1. 28 day deaths: -been that since the change from 60 days (pushed by Heneghen etc). Hardly massaged if same throughout. -correlates beautifully with ONS death cert stats where COVID primary cause.,,1344070646523981824
pragmatiker11,2020-12-29T23:59:48.000Z,"Dolores Cahill Phd is interviewed by Liam Galvin. ""I Would Sue For Murder if Someone Forcibly Injected Me With The Vaccine!"" brighteon.com/7014e338-06e5- …",https://t.co/ImPB2ajlMi,1344070645970305025
Linialomdil,2020-12-29T23:59:48.000Z,"Ah, the confusion makes sense in that case. But yeah, the people doing the banning and the people hosting the pandemic locals are two different groups. Just the city of Raleigh, NC, has like 4 different TOs of notable locals, not to mention TOs within driving distance of the city",,1344070645362130944
Red_BULLish,2020-12-29T23:59:48.000Z,So the vaccine is a placebo..,,1344070645189996544
